content,score
"Aplikasi yang sangat membantu notulensi keuangan, dari saya pribadi yang sebelumnya spend lalu lupa jadi lebih teratur dan terkontrol dalam spend uang, semoga kedepannya bisa auto connect dengan aktivitas m-banking di handphone, tapi tetap aman dengan data & uang pengguna aplikasi. Thanks a lot for making this app Have a great life ❤️",5
"Aplikasi keuangan yang simple dan mudah digunakan. UI nya ringan, jadi ga bikin lag. Bisa hide saldo juga",5
aplikasi yang sangat straight forward dan simpel. saya suka dengan kemudahan untuk membuat kategori + sub kategorinya. gratis dan tanpa perlu upgrade ke versi premium.,5
"sebagai menjadi pengguna sejak tahun 2017, Ada kejutan update Versi - Versi terbaru nih. Dijadwalkan di distribusikan secara bertahap mulai pertengahan April 2026 tampilan per Group ditekan bisa melihatkan seluruh nama per pos yang dibuat. Memudahkan ketika mau melihat pos mana yang mau dilihat berdasarkan Group. Trims Money Manager. Buat owner dan timnya, sehat dan sukses selalu ya",5
"aplikasi yg bagus dan berguna, andai aku tau sejak dulu aplikasi ini pasti aku bisa mengontrol pengeluaran ku dan mencatat apa saja yg dikeluarin. recommended sihh ini aplikasi gausah catat dibuku lagi, apalagi bawa' buku catatan pengeluaran, pokoknya RECOMMENDED 👍🏼",5
"Tambahkan fitur untuk bisa membuat beberapa room terpisah didalam aplikasi. contoh kasus : saya bekerja di banyak tempat dan mau mencatat semua hal secara terpisah di room yang berbeda, sehingga perhitungan tiap room bersifat privat tambahkan fitur yang dapat tersingkron antar perangkat, sehingga aplikasi bisa diakses dari mana saja",5
"aplikasi bagus banget, ini saya mau mencoba premium, jika sudah premium dan ganti HP apakah masih bisa premium merasakan premium, atau harus membayar lagi? tolong direspon",5
mudah digunakan. gak ribet. bisa dimodifikasi. tingkatkan lagi. tambah sukses dan bermanfaat bagi semua. aman dan terpercaya. karena offline,5
Nyaman pakai aplikasi nya mudah dan rincian bisa di tulis.,5
"saya pengguna lebih dari 1 tahun, aplikasi mudah digunakan, sudah ada buat privasi sidik jari, cuman kurang untuk backup data dari hp lama ke hp baru",4
"Ini adalah aplikasi langganan saya. Saya sudah hampir 2 tahun menggunakan aplikasi ini karena mudah digunakan dan memiliki banyak fitur yang bermanfaat. Namun, ada satu kekurangan yang sangat berpengaruh, yaitu belum adanya sinkronisasi antar dua perangkat. Jadi, ketika ganti HP, catatan sebelumnya otomatis terhapus dan harus mengulang dari awal. Semoga hal ini bisa segera diperbaiki.",4
